religion,group,axis,religion_group,religion_axis,is_biased,is_unanswered
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,1.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,0.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,0.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,0.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,1.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,1.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,1.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,1.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,0.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,,1
Jewish,G1,religious/cultural,Jewish_G1,Jewish_religious/cultural,1.0,0
Sikh,G1,religious/cultural,Sikh_G1,Sikh_religious/cultural,1.0,0
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
Christian,G1,religious/cultural,Christian_G1,Christian_religious/cultural,0.0,0
Hindu,G1,religious/cultural,Hindu_G1,Hindu_religious/cultural,,1
Muslim,G1,religious/cultural,Muslim_G1,Muslim_religious/cultural,1.0,0
